Algorithm;TreeLength;Problem;testR2;trainingR2;time;Evaluations;Generations;Fold;Rows;Columns;ModelLength;ModelDepth;Threshold
OSGA (ContPruning mit Simplifizierung);20;1027_ESL.tsv;0,87876112394589;0,882765337391984;03:34:57.8030000;483866;41;0;488;5;25;9;0
OSGA (ContPruning mit Simplifizierung);20;1027_ESL.tsv;0,912179463255707;0,877977323880843;03:34:57.8030000;188666;15;1;488;5;23;9;0
OSGA (ContPruning mit Simplifizierung);20;1027_ESL.tsv;0,86959762351787;0,881790758578495;03:34:57.8030000;254966;42;2;488;5;27;10;0
OSGA (ContPruning mit Simplifizierung);20;1027_ESL.tsv;0,883842042345061;0,880357760386262;03:34:57.8030000;163266;14;3;488;5;22;8;0
OSGA (ContPruning mit Simplifizierung);20;1027_ESL.tsv;0,90241031840636;0,884298012056414;03:34:57.8030000;1198966;100;4;488;5;22;9;0
OSGA (ContPruning mit Simplifizierung);20;1027_ESL.tsv;0,892800744358148;0,880265698052726;03:34:57.8030000;331266;45;5;488;5;24;9;0
OSGA (ContPruning mit Simplifizierung);20;1027_ESL.tsv;0,880350878371151;0,883373960576826;03:34:57.8030000;428966;40;6;488;5;26;10;0
OSGA (ContPruning mit Simplifizierung);20;1027_ESL.tsv;0,890681614130693;0,880873451059286;03:34:57.8030000;203266;16;7;488;5;24;11;0
OSGA (ContPruning mit Simplifizierung);20;1027_ESL.tsv;0,779375087176266;0,896199517749371;03:34:57.8030000;603966;100;8;488;5;28;9;0
OSGA (ContPruning mit Simplifizierung);20;1027_ESL.tsv;0,860855890764886;0,884669583257946;03:34:57.8030000;1176966;100;9;488;5;24;9;0
OSGA (ContPruning mit Simplifizierung);20;1028_SWD.tsv;0,445714149911616;0,44230804955769;05:21:46.0140000;543166;48;0;1000;11;24;9;0
OSGA (ContPruning mit Simplifizierung);20;1028_SWD.tsv;0,292130326359008;0,432698213013142;05:21:46.0140000;226166;100;1;1000;11;28;10;0
OSGA (ContPruning mit Simplifizierung);20;1028_SWD.tsv;0,447082214536354;0,441024942345131;05:21:46.0140000;506666;50;2;1000;11;27;10;0
OSGA (ContPruning mit Simplifizierung);20;1028_SWD.tsv;0,429023930720647;0,433681065824885;05:21:46.0140000;346066;100;3;1000;11;29;9;0
OSGA (ContPruning mit Simplifizierung);20;1028_SWD.tsv;0,496741993819663;0,429046820092519;05:21:46.0140000;370666;36;4;1000;11;24;8;0
OSGA (ContPruning mit Simplifizierung);20;1028_SWD.tsv;0,300219531482221;0,452623926240982;05:21:46.0140000;282166;100;5;1000;11;29;10;0
OSGA (ContPruning mit Simplifizierung);20;1028_SWD.tsv;0,270358392503978;0,454934287169472;05:21:46.0140000;385466;31;6;1000;11;24;9;0
OSGA (ContPruning mit Simplifizierung);20;1028_SWD.tsv;0,510692418545094;0,417077395970317;05:21:46.0140000;156866;14;7;1000;11;23;8;0
OSGA (ContPruning mit Simplifizierung);20;1028_SWD.tsv;0,4433547132983;0,427800999794778;05:21:46.0140000;164866;14;8;1000;11;21;10;0
OSGA (ContPruning mit Simplifizierung);20;1028_SWD.tsv;0,406331012403495;0,444350062584535;05:21:46.0140000;398766;34;9;1000;11;24;8;0
OSGA (ContPruning mit Simplifizierung);20;1030_ERA.tsv;0,342107235136914;0,413109344260607;07:18:26.1450000;321766;53;0;1000;5;22;9;0
OSGA (ContPruning mit Simplifizierung);20;1030_ERA.tsv;0,484022538078564;0,390169086185746;07:18:26.1450000;373366;29;1;1000;5;24;11;0
OSGA (ContPruning mit Simplifizierung);20;1030_ERA.tsv;0,360917512830642;0,405668923025185;07:18:26.1450000;384666;34;2;1000;5;20;7;0
OSGA (ContPruning mit Simplifizierung);20;1030_ERA.tsv;0,457664528971709;0,391682395220806;07:18:26.1450000;329666;23;3;1000;5;21;8;0
OSGA (ContPruning mit Simplifizierung);20;1030_ERA.tsv;0,383930349116896;0,402205541580825;07:18:26.1450000;575666;100;4;1000;5;32;8;0
OSGA (ContPruning mit Simplifizierung);20;1030_ERA.tsv;0,35983577154316;0,412850507727815;07:18:26.1450000;490666;100;5;1000;5;30;10;0
OSGA (ContPruning mit Simplifizierung);20;1030_ERA.tsv;0,352386525485727;0,40972996716682;07:18:26.1450000;674566;100;6;1000;5;38;9;0
OSGA (ContPruning mit Simplifizierung);20;1030_ERA.tsv;0,293167134282285;0,419763316555095;07:18:26.1450000;715066;100;7;1000;5;24;10;0
OSGA (ContPruning mit Simplifizierung);20;1030_ERA.tsv;0,406076789217236;0,398634276543865;07:18:26.1450000;344166;24;8;1000;5;21;10;0
OSGA (ContPruning mit Simplifizierung);20;1030_ERA.tsv;0,32191652683331;0,410164092502928;07:18:26.1450000;1015766;71;9;1000;5;24;8;0
OSGA (ContPruning mit Simplifizierung);20;207_autoPrice.tsv;0,960925980863797;0,933926006934087;02:07:22.5450000;1248866;100;0;159;16;24;9;0
OSGA (ContPruning mit Simplifizierung);20;207_autoPrice.tsv;0,95659591700621;0,922897760416725;02:07:22.5450000;227766;19;1;159;16;24;9;0
OSGA (ContPruning mit Simplifizierung);20;207_autoPrice.tsv;0,967784974342668;0,926473432345624;02:07:22.5450000;296866;22;2;159;16;23;10;0
OSGA (ContPruning mit Simplifizierung);20;207_autoPrice.tsv;0,626474478173785;0,943679932555272;02:07:22.5450000;639866;100;3;159;16;22;7;0
OSGA (ContPruning mit Simplifizierung);20;207_autoPrice.tsv;0,945435353831312;0,925888093347557;02:07:22.5450000;474166;56;4;159;16;24;9;0
OSGA (ContPruning mit Simplifizierung);20;207_autoPrice.tsv;0,946746234928818;0,937750534979657;02:07:22.5450000;260366;28;5;159;16;24;9;0
OSGA (ContPruning mit Simplifizierung);20;207_autoPrice.tsv;0,869948876893565;0,949978216158017;02:07:22.5450000;710666;55;6;159;16;24;9;0
OSGA (ContPruning mit Simplifizierung);20;207_autoPrice.tsv;0,847029368788848;0,949308973093709;02:07:22.5450000;1110766;100;7;159;16;24;9;0
OSGA (ContPruning mit Simplifizierung);20;207_autoPrice.tsv;0,937869352010399;0,945501854596078;02:07:22.5450000;788766;100;8;159;16;24;11;0
OSGA (ContPruning mit Simplifizierung);20;207_autoPrice.tsv;0,932591067457648;0,955541859220624;02:07:22.5450000;289566;39;9;159;16;24;9;0
OSGA (ContPruning mit Simplifizierung);20;210_cloud.tsv;0,815917191206405;0,947549154169002;01:34:06.1430000;346566;85;0;108;6;29;15;0
OSGA (ContPruning mit Simplifizierung);20;210_cloud.tsv;0,789030987873197;0,958812223922088;01:34:06.1430000;1086266;100;1;108;6;26;9;0
OSGA (ContPruning mit Simplifizierung);20;210_cloud.tsv;0,860414911241178;0,965047895910732;01:34:06.1430000;543466;100;2;108;6;28;9;0
OSGA (ContPruning mit Simplifizierung);20;210_cloud.tsv;0,95780181029962;0,951347939492214;01:34:06.1430000;372266;100;3;108;6;24;10;0
OSGA (ContPruning mit Simplifizierung);20;210_cloud.tsv;0,767680252677272;0,944893590940595;01:34:06.1430000;308966;100;4;108;6;27;11;0
OSGA (ContPruning mit Simplifizierung);20;210_cloud.tsv;0,99485085283779;0,9364915873747;01:34:06.1430000;385466;100;5;108;6;24;9;0
OSGA (ContPruning mit Simplifizierung);20;210_cloud.tsv;0,768929021813079;0,965169607742653;01:34:06.1430000;735866;70;6;108;6;24;11;0
OSGA (ContPruning mit Simplifizierung);20;210_cloud.tsv;0,909128389395775;0,953118947466545;01:34:06.1430000;194966;18;7;108;6;25;11;0
OSGA (ContPruning mit Simplifizierung);20;210_cloud.tsv;0,952681282233826;0,950712083834827;01:34:06.1430000;232466;19;8;108;6;23;10;0
OSGA (ContPruning mit Simplifizierung);20;210_cloud.tsv;0,888074939168099;0,967110792709082;01:34:06.1430000;731166;100;9;108;6;26;9;0
OSGA (ContPruning mit Simplifizierung);20;1029_LEV.tsv;0,633226077211336;0,571299828550007;06:21:01.1260000;485966;100;0;1000;5;19;9;0
OSGA (ContPruning mit Simplifizierung);20;1029_LEV.tsv;0,616077265162947;0,573824792211411;06:21:01.1260000;483166;32;1;1000;5;24;8;0
OSGA (ContPruning mit Simplifizierung);20;1029_LEV.tsv;0,489847174859882;0,594837413465632;06:21:01.1260000;828066;100;2;1000;5;24;9;0
OSGA (ContPruning mit Simplifizierung);20;1029_LEV.tsv;0,36483333622708;0,600426904836358;06:21:01.1260000;291866;100;3;1000;5;27;8;0
OSGA (ContPruning mit Simplifizierung);20;1029_LEV.tsv;0,677934264298147;0,568109565313824;06:21:01.1260000;415566;39;4;1000;5;24;9;0
OSGA (ContPruning mit Simplifizierung);20;1029_LEV.tsv;0,664026947497184;0,568179707988595;06:21:01.1260000;212966;17;5;1000;5;18;8;0
OSGA (ContPruning mit Simplifizierung);20;1029_LEV.tsv;0,524664797230232;0,584797118724711;06:21:01.1260000;370366;100;6;1000;5;24;9;0
OSGA (ContPruning mit Simplifizierung);20;1029_LEV.tsv;0,532452400036007;0,585942939976038;06:21:01.1260000;340566;100;7;1000;5;26;9;0
OSGA (ContPruning mit Simplifizierung);20;1029_LEV.tsv;0,55029198250842;0,58104148969084;06:21:01.1260000;610766;100;8;1000;5;33;10;0
OSGA (ContPruning mit Simplifizierung);20;1029_LEV.tsv;0,586450525567932;0,580834396374998;06:21:01.1260000;396466;28;9;1000;5;24;9;0
OSGA (ContPruning mit Simplifizierung);20;228_elusage.tsv;0,966390856102635;0,943485622838533;01:21:03.8500000;398866;100;0;55;3;36;6;0
OSGA (ContPruning mit Simplifizierung);20;228_elusage.tsv;0,98332562910471;0,921568669027469;01:21:03.8500000;244666;26;1;55;3;24;10;0
OSGA (ContPruning mit Simplifizierung);20;228_elusage.tsv;0,979464153189164;0,92667251795273;01:21:03.8500000;290566;38;2;55;3;22;8;0
OSGA (ContPruning mit Simplifizierung);20;228_elusage.tsv;0,73659262475366;0,937965365094292;01:21:03.8500000;685566;100;3;55;3;24;12;0
OSGA (ContPruning mit Simplifizierung);20;228_elusage.tsv;0,98246205316373;0,915351925238983;01:21:03.8500000;318266;41;4;55;3;24;10;0
OSGA (ContPruning mit Simplifizierung);20;228_elusage.tsv;0,91927447720646;0,925026449715979;01:21:03.8500000;784366;73;5;55;3;24;13;0
OSGA (ContPruning mit Simplifizierung);20;228_elusage.tsv;0,461514285749672;0,924966018808166;01:21:03.8500000;558066;48;6;55;3;24;9;0
OSGA (ContPruning mit Simplifizierung);20;228_elusage.tsv;0,917295845786283;0,935857003985276;01:21:03.8500000;762766;100;7;55;3;24;10;0
OSGA (ContPruning mit Simplifizierung);20;228_elusage.tsv;0,911961922699182;0,924097605119934;01:21:03.8500000;1162966;100;8;55;3;24;10;0
OSGA (ContPruning mit Simplifizierung);20;228_elusage.tsv;0,769918516394275;0,932593582004723;01:21:03.8500000;564066;100;9;55;3;31;6;0
OSGA (ContPruning mit Simplifizierung);20;230_machine_cpu.tsv;0,858397148942051;0,973858017318159;02:43:58.1270000;266566;27;0;209;7;24;9;0
OSGA (ContPruning mit Simplifizierung);20;230_machine_cpu.tsv;0,986386772089345;0,960900164977608;02:43:58.1270000;175266;18;1;209;7;24;8;0
OSGA (ContPruning mit Simplifizierung);20;230_machine_cpu.tsv;0,9218116184656;0,981036764408228;02:43:58.1270000;852766;81;2;209;7;24;9;0
OSGA (ContPruning mit Simplifizierung);20;230_machine_cpu.tsv;0,948971368430432;0,967692451066234;02:43:58.1270000;1039466;100;3;209;7;24;8;0
OSGA (ContPruning mit Simplifizierung);20;230_machine_cpu.tsv;0,91134479755978;0,96908132921495;02:43:58.1270000;711766;100;4;209;7;29;10;0
OSGA (ContPruning mit Simplifizierung);20;230_machine_cpu.tsv;0,961939161001114;0,966064183267849;02:43:58.1270000;281066;29;5;209;7;25;10;0
OSGA (ContPruning mit Simplifizierung);20;230_machine_cpu.tsv;0,940054034129717;0,976152411401664;02:43:58.1270000;421866;36;6;209;7;24;11;0
OSGA (ContPruning mit Simplifizierung);20;230_machine_cpu.tsv;0,858401459437205;0,976417892655457;02:43:58.1270000;1173166;100;7;209;7;24;9;0
OSGA (ContPruning mit Simplifizierung);20;230_machine_cpu.tsv;0,952330701689828;0,974742602458973;02:43:58.1270000;825366;100;8;209;7;33;10;0
OSGA (ContPruning mit Simplifizierung);20;230_machine_cpu.tsv;0,96513147261449;0,972169820755815;02:43:58.1270000;1477966;100;9;209;7;24;10;0
OSGA (ContPruning mit Simplifizierung);20;229_pwLinear.tsv;0,950955472160684;0,916186903984322;01:56:49.0390000;366966;48;0;200;11;20;7;0
OSGA (ContPruning mit Simplifizierung);20;229_pwLinear.tsv;0,916219178597149;0,914356851127206;01:56:49.0390000;855466;100;1;200;11;24;8;0
OSGA (ContPruning mit Simplifizierung);20;229_pwLinear.tsv;0,797453399077064;0,913080412843225;01:56:49.0390000;408166;36;2;200;11;24;9;0
OSGA (ContPruning mit Simplifizierung);20;229_pwLinear.tsv;0,893680038939035;0,915280825595125;01:56:49.0390000;356166;40;3;200;11;20;8;0
OSGA (ContPruning mit Simplifizierung);20;229_pwLinear.tsv;0,92829888696558;0,896476637725963;01:56:49.0390000;163866;15;4;200;11;24;10;0
OSGA (ContPruning mit Simplifizierung);20;229_pwLinear.tsv;0,919337093533373;0,907920028822123;01:56:49.0390000;272466;32;5;200;11;24;10;0
OSGA (ContPruning mit Simplifizierung);20;229_pwLinear.tsv;0,927334386925523;0,909224400570704;01:56:49.0390000;181666;16;6;200;11;21;8;0
OSGA (ContPruning mit Simplifizierung);20;229_pwLinear.tsv;0,689788631934839;0,89659423628047;01:56:49.0390000;187266;100;7;200;11;29;12;0
OSGA (ContPruning mit Simplifizierung);20;229_pwLinear.tsv;0,897259294895642;0,913909139777393;01:56:49.0390000;690066;58;8;200;11;24;9;0
OSGA (ContPruning mit Simplifizierung);20;229_pwLinear.tsv;0,902372680760011;0,914250108579621;01:56:49.0390000;1392166;100;9;200;11;24;9;0
OSGA (ContPruning mit Simplifizierung);20;192_vineyard.tsv;0,185604183324796;0,884711932161486;01:51:03.5610000;291466;30;0;52;3;24;10;0
OSGA (ContPruning mit Simplifizierung);20;192_vineyard.tsv;0,72197014195107;0,871386433242464;01:51:03.5610000;707666;100;1;52;3;24;8;0
OSGA (ContPruning mit Simplifizierung);20;192_vineyard.tsv;0,662784036398467;0,890404596692097;01:51:03.5610000;919066;100;2;52;3;24;9;0
OSGA (ContPruning mit Simplifizierung);20;192_vineyard.tsv;0,267696001405801;0,906163095844469;01:51:03.5610000;760566;100;3;52;3;24;10;0
OSGA (ContPruning mit Simplifizierung);20;192_vineyard.tsv;0,00561356782071833;0,89480760200008;01:51:03.5610000;763366;100;4;52;3;24;8;0
OSGA (ContPruning mit Simplifizierung);20;192_vineyard.tsv;0,80427807329928;0,842288957683972;01:51:03.5610000;119966;12;5;52;3;26;13;0
OSGA (ContPruning mit Simplifizierung);20;192_vineyard.tsv;0,166325341105177;0,91462361158929;01:51:03.5610000;1478866;100;6;52;3;24;8;0
OSGA (ContPruning mit Simplifizierung);20;192_vineyard.tsv;0,825503670417843;0,883598692585324;01:51:03.5610000;1121166;91;7;52;3;24;9;0
OSGA (ContPruning mit Simplifizierung);20;192_vineyard.tsv;0,497427717409069;0,883254307744702;01:51:03.5610000;480866;44;8;52;3;24;9;0
OSGA (ContPruning mit Simplifizierung);20;192_vineyard.tsv;0,921246694035828;0,836810621449929;01:51:03.5610000;819866;67;9;52;3;24;9;0
