x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;f(x);y
1;1;1;0;1;1;1;1;-1;-1;8;9.211502827
-1;-1;0;-1;-1;1;1;-1;-1;0;-3;-2.622463582
1;0;0;0;-1;-1;0;1;0;1;3;3.996333536
-1;1;-1;1;1;1;0;0;1;0;2;5.552316597
1;-1;0;1;-1;-1;-1;1;-1;0;1;4.363240727
-1;1;-1;0;1;-1;1;-1;0;1;-1;3.144564051
-1;1;1;1;0;1;1;1;0;-1;0;-0.150647376
1;0;-1;-1;0;0;-1;-1;-1;-1;0;2.375080565
-1;0;1;0;1;-1;1;-1;0;1;-1;-1.297089221
1;-1;1;1;0;1;0;-1;-1;-1;3;4.910807121
1;1;1;1;1;-1;1;0;0;1;9;7.735048594
-1;1;0;-1;0;0;0;1;0;-1;-3;-4.55788394
-1;0;-1;1;-1;0;0;0;-1;1;-6;-9.188306984
1;1;0;0;1;0;1;1;0;1;6;6.602536813
-1;1;-1;1;0;1;1;0;-1;0;0;-0.144718463
-1;1;0;0;-1;1;0;-1;0;1;-4;-0.489248363
1;0;0;-1;-1;-1;1;1;0;1;2;0.89488613
1;0;0;1;1;-1;0;1;0;0;4;6.487717298
1;-1;-1;0;1;-1;1;0;1;0;-2;-0.555934849
1;1;1;0;-1;-1;1;0;-1;1;8;6.274182777
-1;0;1;0;1;-1;-1;-1;1;-1;-3;-4.083685008
1;1;0;0;1;1;-1;0;-1;0;6;5.413807107
1;0;-1;0;1;1;1;1;-1;0;1;3.289063052
1;-1;1;0;0;-1;-1;0;0;0;2;0.621492165
-1;0;-1;0;0;0;1;-1;-1;1;-2;-0.335328855
-1;-1;0;1;1;-1;-1;-1;0;-1;-3;-1.655214047
1;-1;0;0;1;0;0;1;1;1;0;-0.78353398
-1;0;-1;-1;1;-1;0;1;1;1;-2;-4.115860625
1;1;1;1;0;1;0;0;1;0;9;11.78601636
-1;1;0;0;0;-1;0;0;-1;0;-5;-5.62472747
1;0;-1;0;1;-1;1;0;-1;-1;1;1.459841282
-1;1;1;0;-1;-1;1;1;0;-1;-7;-8.891935099
1;0;0;-1;-1;1;-1;-1;-1;-1;2;1.831348809
-1;0;1;0;1;-1;-1;0;0;0;-3;-4.133851727
1;0;-1;-1;-1;0;1;-1;-1;1;0;0.01739093
1;1;-1;0;0;0;0;1;-1;1;4;4.668495616
-1;0;-1;1;-1;-1;1;-1;1;1;-7;-8.731680323
1;1;-1;0;-1;-1;1;1;1;-1;4;3.766043762
1;0;1;-1;1;-1;0;1;1;0;4;4.114345165
1;0;1;1;-1;-1;1;0;-1;1;6;6.335228741
-1;0;1;-1;-1;0;0;-1;1;0;-6;-5.375316151
-1;0;-1;1;1;-1;0;0;0;1;-2;-3.891613637
-1;0;0;-1;-1;1;1;0;1;1;-3;-2.819376548
-1;-1;0;-1;0;0;1;0;0;0;-2;-2.428337704
-1;0;0;0;1;1;1;1;-1;0;3;2.883827661
1;1;0;-1;1;0;1;1;1;-1;5;-0.38349864
-1;0;1;1;1;-1;0;0;0;1;-2;-5.347614689
1;0;1;0;1;-1;1;-1;1;0;5;5.592777771
1;0;-1;1;1;0;0;0;0;-1;2;2.567669762
1;0;1;1;-1;1;-1;0;1;-1;6;6.338483862
1;0;-1;-1;0;0;1;-1;-1;0;0;2.678551242
