Date;Days;US Average Earnings;d(US Average Earnings);US Building Permits;US Capacity utilization;US Chicago PMI;US Consumer Confidence;US Consumption, adj;d(US Consumption, adj);US CPI inflation, mm;d(US CPI inflation, mm);US Domestic Car Sales;US Existing Home Sales;d(US Existing Home Sales);US Fed Budget;US Foreign Buying, T-Bonds;US Help Wanted Index;US Housing Starts;US Industrial Output mm;d(US Industrial Output mm);US International Trade $;d(US International Trade $);US ISM mfg PMI;US Leading Indicators;d(US Leading Indicators);US Manufacturing Payroll;US Mich conditions prel;US Mich expecations prel;US Mich InflErw 1y;US Mich InflErw 5y;US Mich sentiment prel;US National Activity Index;US New Home Sales;US nonfarm payrolls;d(US nonfarm payrolls);US NY NAPM Index;US Personal Income;d(US Personal Income);US Phil Fed business Index;US Producer Prices mm;d(US Producer Prices mm);US Unemployment;EZ Producer Prices mm;d(EZ Producer Prices mm);DE Exports;d(DE Exports);DE Imports mm;d(DE Imports mm);DE Producer Prices;d(DE Producer Prices);DE Wholesale price index;US Current Account;d(US Current Account)
10/31/1979 1:00;7243;1;0.002727273;1.489556136;1.955944056;1.570258949;1.46201232;1;0.001237624;1;0.00565995;1.36374659;1.354359926;-0.072356215;1.339903226;1.266120015;2;1.598644068;1.090436242;-0.001845638;1.946134051;0.020587203;1.483950617;1.075533662;-0.007389163;2;1.335016835;1.080870918;1.86;1;1.172470978;1.59379845;1.315889629;1.035236888;0.001911049;1.822792214;1;0.003657262;1.432408236;1;0.012629162;1.314285714;1;0;1;0.007458234;1;-0.002897431;1;0.002087683;1;1.959096816;0.002311388
11/30/1979 1:00;7273;1.003636364;0.008181818;1.355744125;1.939160839;1.530845392;1.440451745;1.001237624;-9.66E-15;1.00603728;0.00603728;1.36511064;1.300556586;-0.019480519;1.359693548;1.241348663;1.918604651;1.49220339;1.089597315;-0.000587248;1.953386361;-0.026589367;1.459259259;1.068965517;-0.007389163;1.983472575;1.323232323;1.119751166;1.96;1;1.192371476;1.513178295;1.24643197;1.037158157;0.001573805;1.823647017;1.003134796;0.001567398;1.432408236;1.011481056;0.006888634;1.3;1;0;1.005966587;5.11E-15;1.001931621;0.016418775;1.004175365;0.001043841;1.010666667;1.959096816;-0.006934163
12/31/1979 1:00;7304;1.009090909;0.002424242;1.341383812;1.933566434;1.486100533;1.445585216;1.002475248;0.002681518;1.01282922;0.007672377;1.438920885;1.283858998;-0.009585652;1.382729032;1.264844176;1.906976744;1.474576271;1.090771812;0.003453579;1.933968885;-0.013565183;1.380246914;1.064039409;-0.002326218;1.983835815;1.237373737;1.111975117;1.95;1;1.154228856;1.551937984;1.210275928;1.039099865;0.002399883;1.824510913;1.00522466;0.00261233;1.432408236;1.020665901;0.011289705;1.314285714;1;-0.000849362;1.008949881;0.006215195;1.013521344;0.006438735;1.012526096;0.017049408;1.034666667;1.95447404;-0.002696619
1/31/1980 1:00;7335;1.009090909;0.00219697;1.358355091;1.948251748;1.42916984;1.396303901;1.006188119;0.002784653;1.021130481;0.007986819;1.518945286;1.272727273;-0.016852195;1.372748387;1.277043493;1.88372093;1.368135593;1.095469799;0.003201902;1.928895192;-0.013164308;1.414814815;1.064039409;0.002463054;1.980385035;1.427609428;1.152410575;2;1;1.253731343;1.582945736;1.241674596;1.041777378;0.002151208;1.82570218;1.008359457;0.002786486;1.432408236;1.034443169;0.014446996;1.357142857;1;0.005342759;1.017899761;0.007085322;1.015452965;0.010301977;1.035490605;0.017745303;1.074666667;1.95447404;0.001653363
2/29/1980 1:00;7364;1.014545455;0.006742424;1.305483029;1.938461538;1.448210206;1.390143737;1.007425743;0.000515677;1.028677081;0.008049707;1.445741134;1.246753247;-0.031385281;1.357145161;1.261977121;1.848837209;1.374237288;1.095973154;-0.000321588;1.912986899;0.006824629;1.513580247;1.064039409;-0.01272578;1.968942971;1.400673401;1.164852255;1.96;2;1.252072968;1.479069767;1.193149382;1.043392061;0.002301094;1.826420577;1.010449321;0.001567398;1.432408236;1.048220436;0.01224646;1.357142857;1.010192339;0.009342978;1.020883055;-0.001740255;1.03090593;0.000643874;1.045929019;0.009742519;1.098666667;1.95447404;-0.008876921
3/31/1980 2:00;7395;1.020909091;0.004015152;1.167754569;1.907692308;1.435262757;1.343942505;1.007425743;-0.000928218;1.036978341;0.007232159;1.336162473;1.20593692;-0.067254174;1.344812903;1.253748674;1.837209302;1.168813559;1.092785235;-0.01136745;1.943502164;0.03608731;1.350617284;1.039408867;-0.025041051;1.968579731;1.228956229;1;1.98;1;1.07960199;1.347286822;1.129400571;1.045681233;0.000206094;1.827439065;1.011494253;0.000435388;1.432408236;1.058553387;0.009184845;1.357142857;1.017425612;0.008767604;1.016408115;-0.002113166;1.017384586;-0.007726483;1.058455115;0.01809325;1.109333333;1.939256462;-0.008876921
4/30/1980 2:00;7425;1.022727273;0.00219697;1.050261097;1.78041958;1.266374714;1.135523614;1.006188119;-0.000206271;1.043015621;0.005848615;1.151864201;1.126159555;-0.05148423;1.418554835;1.244029359;1.697674419;1.171525424;1.073154362;-0.02413311;1.968929115;-0.003858882;1.197530864;1.019704433;-0.016420361;1.924264439;1.069023569;1.00155521;1.97;1;1.016583748;1.049612403;1.030447193;1.042717573;-0.006513238;1.826120487;1.011494253;-0.000261233;1.432408236;1.066590126;0.005836204;1.442857143;1.027289167;0.007425064;1.017899761;0.002486078;1.021247827;0.009658103;1.079331942;0.014613779;1.117333333;1.939256462;0.00031807
5/31/1980 2:00;7456;1.026363636;0.004848485;1.084856397;1.624475524;1.071782178;1.028747433;1.007425743;0.002062706;1.049052902;0.006477499;1.061079115;1.115027829;0.008039579;1.341819355;1.247355142;1.61627907;1.087457627;1.049328859;-0.018400447;1.943385191;-0.009935373;1;1.009852217;0.003557745;1.879404286;1;1.0155521;1.82;1;1;1;1.124643197;1.033908351;-0.008259072;1.822201128;1.011494253;0.000957854;1.432408236;1.071182549;0.005357826;1.528571429;1.031563373;0.002739876;1.019391408;-0.001864558;1.03090593;0.001287747;1.08559499;0.00295755;1.128;1.939256462;0.006650427
6/30/1980 2:00;7486;1.031818182;0.004621212;1.252610966;1.542657343;1;1.090349076;1.00990099;0.002578383;1.055090182;0.003081528;1.126098818;1.13729128;0.047773655;1.426993548;1.282275868;1.627906977;1.269830508;1.037919463;-0.008529083;1.958357703;0.02205911;1.022222222;1.024630542;0.01532567;1.836541954;1.095959596;1.135303266;1.81;1;1.116086235;1.265116279;1.203615604;1.027367862;-0.006659717;1.819291163;1.013584117;0.002786486;1.432408236;1.079219288;0.012724837;1.542857143;1.034193654;0.004164612;1.014916468;-0.002610382;1.023179448;-0.008531324;1.087682672;0.001913709;1.128;1.950657195;0.006650427
7/31/1980 2:00;7517;1.035454545;0.004015152;1.34464752;1.495104895;1.104722011;1.185831622;1.012376238;0.002475248;1.055844842;0.002138203;1.230979085;1.19851577;0.041434756;1.338729032;1.266980131;1.627906977;1.319322034;1.031711409;-0.002237136;1.97815534;0.013342204;1.138271605;1.036124795;0.010262726;1.797675263;1.242424242;1.141524106;1.92;1;1.175787728;1.39379845;1.283539486;1.021992397;0.000316805;1.816899535;1.016718913;0.003221874;1.432408236;1.095292767;0.015021049;1.571428571;1.039783002;0.004630391;1.014916468;-0.000621519;1.017384586;-0.004185178;1.089770355;0.001043841;1.128;1.950657195;-0.002939982
